domain_id,domain,subdomain_id,subdomain,topic_id,topic,formats,temporality,knowledge,premed_appropriate,must_understand,assessment,common_weak_responses,dangerous_misconceptions
D1,"Motivation, insight and reflection",D1.4,Reflection on experience,D1.4.4,Reflection on failure,PE; FU,EVERGREEN,NONE,True,"That the assessed content is the diagnosis and the change, not the setback; and that a real failure with a genuine cost is more credible than a near-miss success.","Personal-example question with follow-up: 'What would you do differently, specifically?'",A humblebrag failure | Blaming circumstances entirely | A change described in general terms with no evidence it happened,Choosing a failure so trivial that it evidences no self-awareness
D1,"Motivation, insight and reflection",D1.4,Reflection on experience,D1.4.5,Reflection on caring for family,WE,EVERGREEN,NONE,True,"That MSC states some schools may consider caring for unwell family, while noting that professional caring differs; and that this is legitimate experience.","Work-experience reflection, handled carefully.",Presenting it as clinical training,"PRODUCT RULE: never prompt for detail about a family member's condition, and never score its disclosure. Frame prompts around what the candidate did and learned, not what the person had."
D1,"Motivation, insight and reflection",D1.4,Reflection on experience,D1.4.6,Learning from feedback,PE; RP; FU,EVERGREEN,NONE,True,"That the assessed behaviour is what changed, and that seeking feedback proactively is stronger evidence than receiving it well.","Personal-example question, or delivering critical feedback within a roleplay and observing the response.",'I take all feedback on board' | No example of feedback that stung,Defending the original position under a follow-up designed to test exactly this
D2,Communication,D2.1,Listening and responding,D2.1.1,Active listening and checking understanding,RP; IT; EX,EVERGREEN,NONE,True,"That summarising back and inviting correction is a behaviour that can be observed in a transcript, and that it changes what the other person says next.",Roleplay; scored on whether a summary occurred and whether it was accurate.,Saying 'I hear you' without demonstrating what was heard | Summarising inaccurately and not noticing,Treating listening as a pause rather than an action
D2,Communication,D2.1,Listening and responding,D2.1.2,Picking up cues,RP,EVERGREEN,NONE,True,That people signal concerns obliquely — 'my daughter usually comes with me' — and that following the cue rather than the agenda is what changes the outcome of a station.,Roleplay with a planted cue and a hidden fact behind it.,Continuing the prepared agenda past an obvious cue | Noticing the cue but not acting on it,This is the single highest-value roleplay behaviour and is invisible in a static question bank
D2,Communication,D2.1,Listening and responding,D2.1.3,Silence and pacing,RP,EVERGREEN,NONE,True,"That silence after bad news is a tool, and that filling it is the commonest novice error.",Roleplay in which the actor pauses; scored on whether the candidate waits.,Talking through the pause | Immediately offering solutions,Not assessable from a transcript alone — this is an interactive-only dimension
D2,Communication,D2.2,Explaining,D2.2.1,Explaining a non-medical process to a lay listener,EX; IT,EVERGREEN,NONE,True,"Structure, chunking, plain language, and checking at intervals rather than only at the end.",Explanation task with a listener who asks a clarifying question mid-way.,"Uninterrupted monologue | Checking only once, at the end | Analogies that are not explained",Fluency is not comprehension. Score whether the listener understood.
D2,Communication,D2.2,Explaining,D2.2.2,Explaining a health concept within lay limits,EX; RP,SLOW,LAY,True,"That an applicant may explain what a clinical trial, a waiting list, a vaccine or a screening programme is, and must not explain a diagnosis, a treatment choice or a prognosis.",Explanation task with an actor who pushes for more than the candidate should give.,Over-simplifying to the point of inaccuracy | Refusing to explain anything at all,"Crossing into clinical advice under social pressure — a red flag, and the point of the station"
D2,Communication,D2.2,Explaining,D2.2.3,Avoiding and unpacking jargon,EX; IT,EVERGREEN,NONE,True,"That jargon includes ordinary words used technically, and that saying the term and then defining it is usually better than avoiding it.","Automated jargon detection in the transcript, checked against whether a definition followed within two sentences.",Using a technical term and moving on | Substituting a vaguer word rather than explaining,Our own scoring must not reward vocabulary — see the anti-buzzword rules
D2,Communication,D2.3,Instruction and precision,D2.3.1,Giving instructions without shared visual reference,IT,EVERGREEN,NONE,True,"Establishing a starting point, sequencing, using unambiguous reference terms, and confirming after each step.","Instruction task with a listener who follows instructions literally, including where they are ambiguous.","Assuming shared orientation | Deictic language ('here', 'like this') | No confirmation between steps","The listener must genuinely execute badly-specified instructions badly, or the station tests nothing"
D2,Communication,D2.3,Instruction and precision,D2.3.2,Sequencing and prioritising information,EX; DQ,EVERGREEN,NONE,True,"That people retain the first and last things said, and that the most important information should not be buried mid-answer.",Any station; scored on transcript structure.,Chronological narration where importance ordering was needed,Signposting phrases without an underlying structure — a buzzword risk in our own scoring
D2,Communication,D2.4,Difficult conversations,D2.4.1,Delivering unwelcome news within competence,RP,EVERGREEN,NONE,True,"That an applicant delivers non-clinical bad news — a cancelled session, a lost item, a change of plan, a mistake they made — and never a diagnosis or prognosis. Warning shot, plain language, pause, respond.",Roleplay in a volunteering or school setting.,Burying the news in preamble | Delivering it and immediately explaining process | Apologising so much the news is unclear,"Stations that ask an applicant to break a diagnosis are unrepresentative of UK MMIs and should not be built. Imperial lists 'empathy and breaking bad news' as a topic, but the assessable version for a 17-year-old is non-clinical."
D2,Communication,D2.4,Difficult conversations,D2.4.2,Responding to anger,RP,EVERGREEN,NONE,True,"That anger usually protects something else — fear, powerlessness, guilt — and that acknowledgement precedes explanation; that defending the organisation first escalates.",Roleplay with an angry actor whose intensity responds to the candidate's behaviour.,Explaining the policy first | Matching the register | Premature apology that does not name what is being apologised for,Scoring de-escalation as compliance. A candidate should not agree to something they cannot deliver in order to calm someone down.
D2,Communication,D2.4,Difficult conversations,D2.4.3,Responding to distress,RP,EVERGREEN,NONE,True,"That acknowledgement and space precede information, and that 'I don't know what to say, but I'm not going anywhere' outperforms a solution.",Roleplay with a tearful actor.,Immediate problem-solving | False reassurance ('I'm sure it will be fine') | Redirecting to a professional before acknowledging anything,Reflective listening that amplifies rather than steadies — our actor design must not reward spiralling
D2,Communication,D2.4,Difficult conversations,D2.4.4,Responding to grief,RP,EVERGREEN,NONE,True,"That grief is not a problem to be solved, that platitudes harm, and that the useful acts are presence, specificity and practical offers.",Roleplay with a bereaved actor in a non-clinical setting.,'They're in a better place' | 'I know exactly how you feel' | Changing the subject,Do not build stations where an applicant breaks news of a death. That is outside any plausible applicant role.
D2,Communication,D2.4,Difficult conversations,D2.4.5,Apologising,RP; ES,SLOW,CONTEXT,True,"That an apology names what happened, takes responsibility without excuse, and says what happens next; that the GMC's professional duty of candour requires telling, apologising, offering a remedy and explaining the effects.",Roleplay in which the candidate has made a real error.,'I'm sorry you feel that way' | An apology followed immediately by 'but',"Do not attribute to the GMC the line that 'an apology is not an admission of liability'. That proposition is statutory (Compensation Act 2006 s.2), not GMC wording."
D2,Communication,D2.5,Structure and rapport,D2.5.1,Opening and orienting,RP,EVERGREEN,NONE,True,"Introducing yourself, saying your role accurately — 'I'm a volunteer here', not anything more — and stating the purpose.",Roleplay; scored on whether the role was stated accurately.,No introduction | Ambiguous role description that lets the actor assume clinical authority,Failing to correct an actor who calls the candidate 'doctor' or 'nurse' is a red flag
D2,Communication,D2.5,Structure and rapport,D2.5.2,Signposting and answer structure,DQ; PD; ES,EVERGREEN,NONE,True,"That a short structural frame helps under time pressure, and that the frame must be filled with content rather than announced.",Transcript structure analysis on any station.,Announcing three points and delivering one | Structure so heavy it consumes the station,ANTI-BUZZWORD: do not award marks for the phrase 'there are two sides to this'. Award them for the second side actually being argued.
D2,Communication,D2.5,Structure and rapport,D2.5.3,Closing and checking,RP,EVERGREEN,NONE,True,"Summarising what was agreed, checking the other person has what they need, and saying what happens next.",Roleplay ending; scored on whether a close occurred before time.,Running out of time mid-sentence with no close | Closing without checking,Time management is a scored behaviour at every station-based school. A perfect answer that does not finish is not a perfect answer.
D2,Communication,D2.6,Asynchronous and digital communication,D2.6.1,Recorded response with no interlocutor,AR,EVERGREEN,NONE,True,"That with no feedback loop, structure must be explicit, the answer must be self-contained, and the timer is the only cue.","Asynchronous recorded station — Brunel's exact format: 2 minutes reading, 5 minutes recording.",Conversational hedging that works live and fails on camera | Running out of time with no conclusion | Waiting for a prompt that never comes,Practising only live mocks actively mis-prepares Brunel applicants
D2,Communication,D2.6,Asynchronous and digital communication,D2.6.2,Professionalism online,ES; RP,SLOW,CONTEXT,True,"GMC 'Using social media as a medical professional' (in force 30 January 2024): professional behaviour, boundaries, confidentiality, honesty, declaring interests, and considering the effect of shared content on health attitudes. GMC 'Achieving good medical practice' expects students to maintain standards outside the medical school and online.","Ethical scenario about a post, a photo, or a group chat.",'I'd just make my account private' | Treating the issue as reputational rather than about patients and colleagues,The 2013 guidance requiring doctors to identify themselves by name online was ARCHIVED in January 2024. Any content asserting that duty is wrong.
D3,Empathy and person-centredness,D3.1,Recognising and responding to emotion,D3.1.1,Naming the emotion,RP,EVERGREEN,NONE,True,"That naming what someone appears to feel, tentatively and checkably, does more than expressing sympathy.",Roleplay; the actor's state changes measurably when the emotion is named.,'That must be hard' as a reflex | Naming the wrong emotion and not checking,Rewarding the phrase rather than the response it produced
D3,Empathy and person-centredness,D3.1,Recognising and responding to emotion,D3.1.2,Validating without false reassurance,RP,EVERGREEN,NONE,True,"That 'I can't promise it'll be fine, but I can tell you what happens next' is stronger than either dismissal or a promise.",Roleplay with an anxious actor who explicitly requests a guarantee.,'Try not to worry' | Guaranteeing an outcome to end the discomfort,A candidate who promises something outside their control has failed the station regardless of warmth
D3,Empathy and person-centredness,D3.1,Recognising and responding to emotion,D3.1.3,Empathy under time pressure,RP,EVERGREEN,NONE,True,"That acknowledging emotion costs seconds, not minutes, and that skipping it to get through the task is the commonest failure in short stations.",A roleplay with TIME set to 2 or 3 and an emotional cue early.,Task completion at the cost of any acknowledgement,Do not design stations that are only passable by abandoning the task — the tension should be real but resolvable
D3,Empathy and person-centredness,D3.2,Perspective and difference,D3.2.1,Perspective-taking under disagreement,RP; ES,EVERGREEN,LAY,True,"That articulating why a person holds a view you think is wrong — vaccine refusal, refusing help, discharging against advice — is the assessed skill, and it is not agreement.","Roleplay with a sceptic, or an ethical scenario.",Restating the correct information louder | Assuming the person is ignorant rather than differently weighted,Confusing respect for autonomy with abandoning the person
D3,Empathy and person-centredness,D3.2,Perspective and difference,D3.2.2,Cultural humility and difference,RP; ES,EVERGREEN,NONE,True,"That difference — language, religion, family structure, disability, sexuality — changes what good care looks like, and that asking is better than assuming.",Roleplay or ethical scenario in a community setting.,Generalising from a group to an individual | Treating an interpreter as optional,"PRODUCT RULE: do not build stations that require a candidate to display knowledge of a specific culture's practices. Assess the asking, not the knowing."
D3,Empathy and person-centredness,D3.2,Perspective and difference,D3.2.3,The impact of illness on a life,DQ; RP,EVERGREEN,LAY,True,"Plymouth scores 'Impact of illness' by name. That illness affects work, income, relationships, identity and independence, and that the medical problem is usually not the biggest problem.",Direct question or roleplay with a carer or a person with a long-term condition.,Answering in terms of symptoms | Treating the patient as the only person affected,"Requiring clinical knowledge of a condition. The station is about consequences, not pathology."
D3,Empathy and person-centredness,D3.2,Perspective and difference,D3.2.4,Boundaries of empathy,RP; FU,EVERGREEN,NONE,True,"That over-identification impairs judgement, that promising to keep in touch or to personally fix something is a boundary error, and that sustainable compassion requires limits.",Roleplay where the actor asks for a personal commitment.,Agreeing to anything to be kind | Cold refusal with no warmth,Scoring warmth without scoring boundaries produces candidates who overpromise
D4,Professionalism and integrity,D4.1,Honesty and probity,D4.1.1,Admitting your own error,RP; ES,EVERGREEN,NONE,True,That disclosure is required even when the error caused no harm and nobody would find out; that the cost of disclosure is the point.,Roleplay in which the candidate has made a mistake and could conceal it.,Disclosing only because they might be found out | Framing the error as someone else's system failure,A candidate who reasons that no harm means no disclosure has produced a red flag
D4,Professionalism and integrity,D4.1,Honesty and probity,D4.1.2,Academic integrity,ES; RP,EVERGREEN,CONTEXT,True,"GMC 'Achieving good medical practice' names plagiarism, cheating and fraud specifically, and applies from day one of medical school.","Ethical scenario about a peer cheating, or about the candidate's own temptation.",Loyalty framed as the overriding value | Reporting immediately with no conversation with the peer first,"The station usually tests the sequence — speak to the person, then escalate — not the eventual outcome"
D4,Professionalism and integrity,D4.1,Honesty and probity,D4.1.3,Honesty in the application itself,AC; FU,SLOW,CONTEXT,True,That exaggerating experience is a probity issue that surfaces under follow-up; that UCAS runs a Verification Team and that AI-generated statements may be treated as fraudulent.,Application challenge with escalating specificity. ONLY for schools that question on the application.,Vagueness under specific questioning | Retreating from a claim without acknowledging it,UCAS publishes NO numerical similarity threshold. Do not repeat the '10% similarity' figure — it is not in UCAS guidance.
D4,Professionalism and integrity,D4.2,Candour when things go wrong,D4.2.1,The professional duty of candour,ES; RP,SLOW,CONTEXT,True,"The four obligations: tell the person, apologise, offer an appropriate remedy or support, and explain fully the short and long term effects.",Ethical scenario or roleplay after an error.,Naming 'duty of candour' without doing any of the four things,ANTI-BUZZWORD: naming the duty scores nothing. Performing its four elements scores.
D4,Professionalism and integrity,D4.2,Candour when things go wrong,D4.2.2,Professional versus statutory candour,FU; ES,SLOW,CONTEXT,"conditional — reward, do not require","The professional duty (GMC, owed to every patient, triggered by anything going wrong) is distinct from the statutory duty on organisations (CQC Regulation 20, triggered only by defined notifiable safety incidents).",Follow-up probe after a candour answer.,Conflating the two,"Coaching material routinely conflates them. Do not require this distinction from a 17-year-old, but reward it and never penalise its absence."
D4,Professionalism and integrity,D4.3,Professional boundaries,D4.3.1,Gifts and personal contact,RP; ES,EVERGREEN,NONE,True,"That small tokens of thanks differ from gifts that create obligation, and that giving personal contact details to a service user is a boundary error whatever the motive.",Roleplay in a care home or volunteering setting.,Refusing bluntly and causing offence | Accepting to avoid awkwardness,Kindness as a justification for a boundary breach is the trap the station is built around
D4,Professionalism and integrity,D4.3,Professional boundaries,D4.3.2,Dual relationships,ES,EVERGREEN,NONE,True,"That knowing someone personally in a care setting changes what you can appropriately do, and that the answer is usually to declare it and hand over.",Ethical scenario in a small-community setting.,Not recognising the conflict at all,Assuming that declaring it is sufficient without changing behaviour
D4,Professionalism and integrity,D4.4,Concerns about others,D4.4.1,Raising a concern without proof,ES; RP; FU,SLOW,CONTEXT,True,"GMC 'Raising and acting on concerns', para 10: you are justified in raising a concern honestly, on the basis of reasonable belief and through appropriate channels, EVEN IF YOU ARE MISTAKEN. You do not need proof.",Ethical scenario where the candidate is uncertain.,'I'd wait until I was sure' | Gathering evidence themselves,This single principle unlocks the largest family of MMI stations. Applicants systematically under-report because they feel uncertain. Make it a first-class teaching point.
D4,Professionalism and integrity,D4.4,Concerns about others,D4.4.2,Concern about a peer,RP; ES,EVERGREEN,NONE,True,"That the usual first step is a direct, private, non-accusatory conversation, and that escalation follows if it does not resolve or if there is risk.",Roleplay with a peer actor — QUB's Station 1 is exactly this.,Straight to authority with no conversation | Conversation and then no follow-through,"Where there is immediate risk, the direct-conversation-first rule does not apply. Build both variants."
D4,Professionalism and integrity,D4.4,Concerns about others,D4.4.3,Concern about someone more senior,ES; RP; FU,EVERGREEN,CONTEXT,True,That hierarchy does not remove the duty; that the mechanism is the same but the personal cost is higher; and that named routes exist above the individual.,Ethical scenario or roleplay with a senior actor.,"'I'm only a volunteer, it's not my place' | Assuming someone else will have noticed",Applicants overweight hierarchy. Follow-up should test whether the answer survives 'they're much more experienced than you'.
D4,Professionalism and integrity,D4.4,Concerns about others,D4.4.4,The escalation ladder,FU; ES,SLOW,CONTEXT,True,"Local first — the person, then the supervisor or an appropriate officer; regulator later, if the responsible person is part of the problem or local action was inadequate. Record what you did.",Follow-up probe: 'You told your supervisor. Two weeks later nothing has changed. Now what?',A single step with no next step | Naming a regulator as the first action,"The commonest scoring error in AI feedback: accepting 'I'd tell someone senior' as complete. Ask WHO, and ask WHAT IF NOTHING HAPPENS."
D4,Professionalism and integrity,D4.5,Working within competence,D4.5.1,Recognising the limit,RP; FU,EVERGREEN,NONE,True,"Aston publishes 'Knowing your limitations and knowing when to ask for help' as an assessed attribute. That an applicant's competence limit is very low, and that recognising it is the assessed behaviour.",Roleplay with OVERC set high — an actor who requests clinical advice.,Offering a general opinion 'just to be helpful' | Refusing so bluntly that the person is abandoned,Any clinical advice from an applicant is a red flag. Declining warmly AND redirecting to a named person is the top-band behaviour.
D4,Professionalism and integrity,D4.5,Working within competence,D4.5.2,Saying 'I don't know',FU,EVERGREEN,NONE,True,"That 'I don't know, and here's how I'd find out' is a strong answer, and that inventing an answer under challenge is a serious failure.",Hostile follow-up on a factual point the candidate cannot know.,Bluffing | Freezing,Our interviewer must NEVER penalise a genuine 'I don't know' that is followed by a method. Score the method.
D4,Professionalism and integrity,D4.5,Working within competence,D4.5.3,Seeking help appropriately,PR; RP,EVERGREEN,NONE,True,"Who, when, how urgently, and what to do while waiting.",Prioritisation or roleplay station.,'I'd get help' with no named person and no interim action,"Reward specificity of the named role, not the word 'escalate'"
D5,Ethical and legal reasoning,D5.1,Autonomy and consent,D5.1.1,Consent as dialogue,ES; FU,SLOW,CONTEXT,True,"GMC 'Decision making and consent' (2020, updated 3 August 2026) is a dialogue model: an ongoing exchange, finding out what matters to this patient, sharing benefits and harms of options AND reasonable alternatives INCLUDING TAKING NO ACTION.",Ethical scenario or a follow-up to a consent answer.,"'Consent must be voluntary, informed, and the patient must have capacity' — this is the pre-2020 model | Treating consent as a signature or an event",Principle 4 (what matters to the patient; reasonable alternatives including no action) is the element candidates most often miss and interviewers most reward. Build feedback around it.
D5,Ethical and legal reasoning,D5.1,Autonomy and consent,D5.1.2,Refusal of treatment,ES; RP,SLOW,CONTEXT,True,"That a capacitous adult may refuse treatment for any reason or none, including where refusal will cause their death; and that the professional response is to understand why, not to overturn.",Ethical scenario with ETHUNC high.,Looking for a way around the refusal | Assuming refusal implies incapacity,Assuming a refusal triggers a capacity assessment is the classic error — the unwise-decision principle exists precisely to prevent it
D5,Ethical and legal reasoning,D5.1,Autonomy and consent,D5.1.3,Consent outside clinical settings,ES; RP,EVERGREEN,NONE,True,"That consent applies to photographs, social media, research participation and personal information in a volunteering setting, and that a 17-year-old will meet these before they meet clinical consent.","Ethical scenario in a school, care home or club setting.",Assuming consent is only a hospital concept,This is the most realistic consent station for a pre-medical applicant and is almost absent from commercial banks
D5,Ethical and legal reasoning,D5.2,Capacity,D5.2.1,The five principles of the Mental Capacity Act 2005,ES; FU,SLOW,CONTEXT,"conditional — reward, do not require",s.1(2)-(6) verbatim: assume capacity; take all practicable steps to help; an unwise decision is not incapacity; act in best interests; choose the least restrictive option.,"Ethical scenario, with follow-up pressure on the unwise-decision principle.",Listing the five and not applying any,ANTI-BUZZWORD: naming the Act scores nothing. Applying the unwise-decision principle under pressure scores.
D5,Ethical and legal reasoning,D5.2,Capacity,D5.2.2,The two-stage test,FU; ES,SLOW,CONTEXT,"conditional — reward, do not require","Stage 1 (s.2(1)): an impairment of, or disturbance in the functioning of, the mind or brain. Stage 2 (s.3(1)): unable to understand, retain, use or weigh, or communicate. The impairment must be the REASON the functional test fails.",Follow-up interrogation of a capacity answer.,Applying the functional test with no impairment identified | Reversing the order,Do not require this of an applicant. Reward it where offered and never penalise its absence — a candidate reasoning well without the statutory vocabulary should score as highly.
D5,Ethical and legal reasoning,D5.2,Capacity,D5.2.3,Capacity is decision- and time-specific,ES; RP,SLOW,CONTEXT,True,"That 'he lacks capacity' is never a status; capacity is assessed for a specific decision at a specific time, and may fluctuate.",Ethical scenario with a fluctuating presentation.,Global statements about a person's capacity,The commonest ethics error in circulating coaching material after the Fraser/Gillick confusion
D5,Ethical and legal reasoning,D5.2,Capacity,D5.2.4,Best interests versus overall benefit,FU,SLOW,CONTEXT,conditional — stretch only,That the MCA uses 'best interests' and the GMC's consent guidance uses 'overall benefit' — different vocabularies over overlapping ground.,Follow-up only.,Mixing the terms mid-answer and sounding unsure,Do not penalise. This is a stretch-band discriminator only.
D5,Ethical and legal reasoning,D5.3,Children and young people,D5.3.1,Gillick competence,ES; RP,SLOW,CONTEXT,True,"The test of whether a child under 16 has sufficient understanding and maturity to consent for themselves. Lord Scarman: 'it is not enough that she should understand the nature of the advice which is being given: she must also have a sufficient maturity to understand what is involved.' It applies broadly, not only to contraception, and is decision-specific.",Ethical scenario involving a young person.,Treating it as a permanent status | Assuming it applies only to contraception,Gillick is a test of the CHILD. Confusing it with Fraser is the single most common ethics error in coaching material.
D5,Ethical and legal reasoning,D5.3,Children and young people,D5.3.2,Fraser guidelines,ES; FU,SLOW,CONTEXT,"conditional — reward, do not require",The criteria for providing contraceptive and sexual-health advice or treatment to an under-16 without parental consent: cannot be persuaded to inform parents; understands the advice; health likely to suffer without it; in their best interests; likely to continue having sex either way.,"Ethical scenario, or a follow-up correcting a Gillick/Fraser conflation.",Using 'Fraser' as the name for the competence test,"Fraser is a test of the DECISION, and applies narrowly to contraception, STI treatment and termination. Our feedback must correct this conflation explicitly, because it is the error applicants are most often taught."
D5,Ethical and legal reasoning,D5.3,Children and young people,D5.3.3,Adolescent confidentiality,RP; ES,SLOW,CONTEXT,True,"That a young person is owed confidentiality, that this is not absolute, and that safeguarding overrides — a child protection assessment is required and concerns must be reported irrespective of the young person's wishes.","Roleplay with a young person disclosing something, with SAFEG variable set.",Promising confidentiality before hearing the disclosure | Breaking confidence without explaining why or telling the person,An applicant who reaches for Gillick without reaching for safeguarding has half-answered the station.
