id,university,course,code,route,interview_type,engines,stations,station_length_min,prep_time_min,total_duration_min,delivery,roleplay,numeracy_data,scientific_reasoning,application_questioning,ethics,nhs_current_affairs,group_task,independently_scored,published_criteria,scoring_note,distinctive,changes,confidence,cycle_published,source_type,source_url,date_checked
brunel-a100,Brunel University London,Medicine MBBS,A100,undergraduate,MMI — asynchronous virtual (vMMI),E5,6,7,2,42,"online (asynchronous, Shortlister platform)",not published,not published,no,not published,hypothetical scenarios,not published,no,sum of marks; no per-station minimum,"Six mini-interview stations, each designed to assess a different attribute aligned with Good Medical Practice",SJT Band 4 not accepted. Candidates ranked by total vMMI score against an annually agreed cut-off.,"The single biggest format outlier in the UK. No interviewer, no rapport, no follow-up — a recorded monologue against a timer. Practice for Brunel is a fundamentally different skill and is the one format where an AI product's asynchronous recording mode is an exact simulation rather than an approximation.",Earlier documentation described live virtual rooms; treat the asynchronous model as current.,"HIGH on format, station count, timing, five-day window; UNCERTAIN on total duration (40 vs 45 minutes across two current Brunel pages)",2026,institution,https://www.brunel.ac.uk/brunel-medical-school/Interviews,2026-08-29
kmms-a100,Kent and Medway Medical School,Medicine MBBS,A100,undergraduate,MMI + group station (hybrid),E1; E2; E6; E7,7,7,3,82,hybrid (in-person for most; remote for international),yes,yes,partial (problem analysis),not published,situational judgement and values-based stations,not published,yes,group station individually assessed,A resilient all-rounder; A realistic and committed attitude to medical training; Ability to communicate effectively and to work well in a team,"Casper (Acuity Insights) additionally required for Groups C, D and E, used to rank rather than threshold. No predicted grades used in selection; relative attainment against school averages replaces absolute grades at shortlisting.","The most content-diverse single circuit in the UK — data, roleplay, task, values and a 40-minute group exercise in one sitting. Also the only school in the set to warn that commercial preparation 'might be less useful' and that school-organised coaching may be 'positively disadvantageous', and to require an NDA. Treat that stance as a marketing constraint, not just a curiosity.",KMMS explicitly states it does not commit to the same number or type of stations for the coming cycle.,"HIGH for the published 2025-26 structure, explicitly labelled by KMMS as subject to change",2026,institution,https://kmms.ac.uk/entry-requirements-2027/,2026-08-29
surrey-a101,University of Surrey,Medicine (Graduate Entry) BMBS,A101,graduate-entry,MMI,E1,not published,not published,not published,60,online,not published,not published,not published,not published (PS not scored),not published,not published,no,yes,,"GAMSAT required for most; UCAT accepted only from Biochemistry, Biology, Biomedical Science, Chemistry or Natural Sciences degrees.","SURREY HAS NO A100. If the product lists Surrey as an undergraduate option, that is a factual error to correct before launch.",not published,MEDIUM,2027,institution,https://www.surrey.ac.uk/undergraduate/medicine-graduate-entry,2026-08-29
oxford-a100,University of Oxford,Medicine (pre-clinical),A100,undergraduate,academic-tutorial / semi-structured panel (explicitly not MMI),E4,not published,not published,not published,not published,"online (December 2026, Microsoft Teams)",no,not published,yes,partial (university-wide guidance says discussion may draw on the personal statement),yes,yes,no,two colleges assess independently against common criteria,"Empathy: ability and willingness to imagine the feelings of others and understand the reasons for the views of others; Motivation: a reasonably well-informed and strong desire to practise medicine; Communication: ability to make knowledge and ideas clear using language appropriate to different audiences, including patients; Honesty and integrity; Ethical awareness; Ability to work with others; Capacity for sustained and intense work; Problem-solving: critical thinking, analytical approach; Intellectual curiosity: keenness to understand the reason for observations; depth; tendency to look for meaning; enthusiasm and curiosity in science; Communication skills: willingness and ability to express clearly and effectively; ability to listen; compatibility with tutorial format",Selection criteria are common to all colleges. NHS Constitution values are named in the criteria.,"Interviewers blinded to UCAT — unique in this dataset. The personal-characteristics criteria list is as long as the academic one, which contradicts the common assumption that Oxford is purely academic.",none published,"HIGH on delivery, panel composition, two-college structure and criteria; MEDIUM on number and length of interviews",2027,institution,https://www.medsci.ox.ac.uk/study/medicine/pre-clinical/requirements/criteria,2026-08-29
oxford-a101,University of Oxford,Medicine (graduate entry / accelerated),A101,graduate-entry,academic-tutorial / semi-structured panel,E4,4,not published,not published,not published,online (17-18 December 2026),not published,not published,yes,yes,shared A100 criteria,shared A100 criteria,no,not published,,"Selection draws on the application form and UCAS information, referees' statements, interview performance and UCAT.",Four interviews is the highest interview count of any non-MMI route in the dataset — stamina and consistency across repeated academic conversation.,none published,"HIGH on number of interviews, delivery and dates; LOW on content detail",2027,institution,https://www.medsci.ox.ac.uk/study/medicine/graduate-entry-medicine/about-the-course/interviews-and-selection,2026-08-29
cambridge-a100,University of Cambridge,Medicine MB BChir,A100,undergraduate,college academic / subject-specific (explicitly not MMI),E4,2,not published,not published,60,CONFLICTING — college-dependent; the university publishes a per-college table rather than a course-level answer,not published,not published as a discrete task,yes,partial (may cover recent school topics or the personal statement),yes,partial,no,not published,"Scientific and related competencies — sixth-form Chemistry, Biology, Maths and Physics; application of knowledge to novel scenarios; lateral thinking and conceptual flexibility; observation and hypothesis generation; Personal qualities — emotional maturity and motivation, listening, empathy, communication, team-working, capacity to handle stressful situations; Professional and career considerations — substantiated motivation, realistic understanding, ethical reasoning, social awareness",For 2027 entry Cambridge uses the overall cognitive UCAT subtest score and will NOT use the situational judgement score. No minimum UCAT threshold.,The most concretely specified scientific-reasoning expectation in the UK — named A-level subjects applied to novel problems. No pre-submitted written work required; Medicine is absent from the 2027-entry at-interview assessment list.,2027 entry: SJT dropped from consideration; overall cognitive score used.,"HIGH on UCAT policy, two-interview minimum and criteria; MEDIUM on duration and number; UNCERTAIN on delivery mode",2027,institution,https://www.undergraduate.study.cam.ac.uk/files/publications/key_criteria_for_medical_admissions.pdf,2026-08-29
cambridge-a101,University of Cambridge,Medicine (Graduate Course) MB BChir,A101,graduate-entry,college academic interview,E4,not published,not published,not published,not published,not published (college-dependent),not published,not published,yes,not published,shared criteria,not published,no,not published,,2027 entry: overall cognitive UCAT score used; SJT not used; no minimum threshold.,not published,As A100 for 2027 entry.,HIGH on UCAT policy; absent on interview format,2027,institution,https://www.undergraduate.study.cam.ac.uk/courses/medicine-graduate-course-mb-bchir,2026-08-29
uea-a100,University of East Anglia,MBBS Medicine,A100,undergraduate,MMI,E1,6,5,1.5,39,in-person (campus),not published,not published,not published,no,not published individually,not published individually,no,yes,Mapped to the Medical Schools Council statement on the core values and attributes needed to study medicine,Interview and UCAT weighted equally at the offer stage.,One of the clearest statements that stations are written directly against the MSC attributes — makes MSC-mapped rubrics directly defensible for this school.,none published,HIGH on structure; absent on content detail,2026,institution,https://www.uea.ac.uk/course/undergraduate/mbbs-medicine,2026-08-29
uea-gem,University of East Anglia,MBBS Medicine (Graduate Entry),not verified,graduate-entry,MMI,E1,6,5,1.5,39,in-person,not published,not published,not published,no,not published,not published,no,yes,,not published,not published,not published,HIGH on structure; UNCERTAIN on course code,2026,institution,https://www.uea.ac.uk/course/undergraduate/mbbs-medicine-graduate-entry,2026-08-29
aru-a100,Anglia Ruskin University,Medicine MBChB,A100,undergraduate,MMI,E1; E2,6,7,1,48,in-person (Chelmsford),yes,not published,not published,partial — PS not directly used but candidates should be prepared to discuss aspects of it,yes,not published,not published,yes,Quality of answer (out of 5); Demonstration of skills/qualities (out of 5); Communication (out of 5),"The clearest published per-station rubric in the dataset: three equally weighted domains per station, 15 per station, 90 total. Directly convertible into a scoring schema.",Confirms actors. The three-domain rubric separates content quality from evidenced attribute from communication — a better model for our own scoring than most schools publish.,none published,HIGH,2026,institution,https://www.aru.ac.uk/study/admissions/interviews-auditions-and-portfolios/medicine-interview-process,2026-08-29
leicester-a100,University of Leicester,Medicine MBChB,A100,undergraduate,MMI,E1; E6,7,10,1,60,"hybrid by cohort (face-to-face for Home, online for International/A199)",not published,yes,not published,borderline candidates only,yes,not published,no,yes,Communication Skills; Problem solving; Personal qualities and values; Motivation and suitability; Ability to show empathy and compassion; Organisational ability; Numeracy,"The numeracy station carries a pass-mark threshold — a hurdle, not a contribution to a total. Mental arithmetic, no calculator, no medical knowledge.",The only school in the dataset publishing numeracy as a threshold hurdle. Ten-minute stations are the longest standard MMI stations found and support genuine follow-up questioning.,Not stated; school notes it regularly reviews its interview process.,"HIGH on delivery, numeracy and criteria; MEDIUM on station count and length (candidate page labelled to an earlier cycle)",2026,institution,https://le.ac.uk/medicine-interview,2026-08-29
nottingham-a100,University of Nottingham,Medicine BMBS,A100,undergraduate,MMI-style scenario circuit (Nottingham calls them scenarios),E1; E2,6,not published,not published,60,"hybrid by fee status for 2027 entry (in-person for Home, online via Teams for International)",yes,not published,not published,no,not explicitly published,partial,no,not published,Good communication and listening skills; An understanding of professional issues such as teamwork; Respect for patients and the contribution of those working in professions allied to medicine,UCAT SJT Band 1-3 required to progress.,"Guarantees at least one roleplay in every circuit — a concrete argument for our roleplay engine being core, not optional.",2026 entry was all online via Teams; 2027 entry moves Home applicants to in-person.,HIGH,2027,institution,https://www.nottingham.ac.uk/medicine/study/medicine/faq/a100-selection.aspx,2026-08-29
nottingham-a101,University of Nottingham,Graduate Entry Medicine BMBS (Royal Derby),A101,graduate-entry,MMI-style scenario circuit,E1; E2,6,not published,not published,60,in-person for Home; online via Teams for International,yes,not published,not published,no,not explicitly published,partial,no,not published,,not published,Largest cycle-on-cycle change found anywhere in the dataset.,2026 entry used GAMSAT and all-online interviews; 2027 entry uses UCAT with in-person interviews for Home applicants.,"HIGH on the 2027 test change, delivery and dates; MEDIUM on scenario detail",2027,institution,https://www.nottingham.ac.uk/medicine/study/medicine/faq/a101-selection.aspx,2026-08-29
lincoln-a100,University of Lincoln,Medicine MBChB,A100,undergraduate,MMI,E1,7,not published,not published,not published,in-person (Brayford Campus),not published,not published,not published,not published,not published individually,not published individually,no,yes,Evidence of skills and attributes appropriate to a career in Medicine; Insight into a range of topics related to working as a doctor,Total interview score out of 70; each station scored across several domains.,"Lincoln now runs its own MBChB at Brayford; the historic joint Nottingham-Lincoln arrangement is not described on current pages. GMC status: under review, not yet fully approved.",none published,"HIGH on station count, scoring total, delivery; absent on timings",2026,institution,https://www.lincoln.ac.uk/medicalschool/admissionsguidance/,2026-08-29
buckingham-mbchb,University of Buckingham,MB ChB Medicine (4.5-year),direct application (private),undergraduate,MMI — Objective Structured Selection Examination (OSSE),E1; E9,not published,not published,not published,not published,online,not published,not published,computer-based aptitude assessment at Stage Two,not published,framed against Good Medical Practice,not published,not published,yes,Tasks intended to test abilities related to Good Medical Practice; Judge personal attributes relating to suitability for practice as a doctor,Performance at each station scored against a checklist defined in advance; total cumulated and applicants ranked.,"No UCAT requirement; an in-house computer-based assessment plays that role. January 2027 intake. Fees £41,500/yr UK. Low priority for a UK-market product given fee level and applicant volume.",none published,HIGH on the three-stage model and scoring method; absent on station detail,2026,institution,https://medvle.buckingham.ac.uk/course/section.php?id=13,2026-08-29
birmingham-a100,University of Birmingham,MBChB Medicine and Surgery,A100,undergraduate,MMI,E1; E2; E6,7,8,2,56,hybrid (in-person for Home; online via Zoom for International),yes,yes,critical thinking and data interpretation only,partial — PS not scored but evidence of commitment required; work experience discussed at the Commitment and Insight station,yes,yes,not published,yes,Critical Thinking; Commitment and Insight into Medicine; Dealing with Personal and Ethical Challenges; Professionalism; Data Interpretation and Debate; Interaction in Healthcare Setting (role-play); Calculation Station,"All MMI stations and the UCAT SJT component are equally weighted. SJT Band 1 = max, Band 2 = 2/3, Band 3 = 1/3, Band 4 = 0. Pre-interview scoring is 45% academic, 40% UCAT, 15% contextual.","The most fully specified station blueprint published by any UK medical school, and the only one naming a computer-based calculation station AND a professional role-player station AND a debate station. This is the single best template for a university-specific practice mode.",Interview page is labelled 2026 entry; entry-requirements page is 2027 entry. Re-verify station list in autumn 2026.,HIGH for 2026-entry structure; MEDIUM that it carries unchanged to 2027 entry,2026,institution,https://www.birmingham.ac.uk/schools/medical-school/applying-to-medicine/medicine-interviews,2026-08-29
aston-a100,Aston University,Medicine MBChB,A100,undergraduate,MMI,E1,5,not published,not published,not published,online,not published,not published,no,not published (MSC: may be used during interviews),not published,not published,not published,yes,"Oral and written communication; Listening; Empathy, compassion, respect and dignity; Emotional intelligence; Problem solving; Motivation; Teamworking; Being able to lead as well as follow; Knowing your limitations and knowing when to ask for help",10 marks per station; 50 total (2025 entry).,Publishes 'Knowing your limitations and knowing when to ask for help' as an explicit assessed attribute — this is the competence-boundary behaviour our scoring must reward and is rarely named this directly.,not published,MEDIUM; station count inferred from 2025 scoring data,unlabelled,institution,https://www.aston.ac.uk/hls/aston-medical-school/advice-zone/mmi,2026-08-29
warwick-a101,University of Warwick,Medicine MB ChB (Graduate Entry),A101,graduate-entry,MMI (Selection Centre),E1,6,10,not published,80,hybrid (in-person main cohort; online session for international),not published,not published,not published,not published,not published,not published,not published,yes,,Warwick runs no undergraduate A100.,Ten-minute stations plus published 2027 dates make this one of the few schools where a fully accurate timed simulation is possible today.,not published,"HIGH on station count, length, delivery and dates; absent on content",2027,institution,https://warwick.ac.uk/study/postgraduate/apply/pgadmissions/applicants/mbchbselection/importantmmiinformation,2026-08-29
keele-a100,Keele University,Medicine MBChB,A100,undergraduate,two separate structured interviews (not a station circuit),E3; E8,2,15,not published,150,online (Microsoft Teams),not published,not published,not published,PS scored at shortlisting; interview use not stated,yes,partial,not published,not published,Awareness of the doctor's role in healthcare teams and society; Engagement with people needing care or support; Communication; Responsibility and commitment; Sustained activities alongside academic study; Positive impact on others' lives,Offer decision based on interview performance; ties broken by UCAT.,"The only school issuing prepared reading material in advance. Practice for Keele needs a pre-read attachment and a discussion-of-supplied-text mode — cheap to build, and nobody else offers it.",Cycle labelling conflicts: Keele's how-to-apply page still says September 2025 entry; MSC lists the same two-interview online-hybrid format for 2027 entry.,MEDIUM — format HIGH from Keele's own page but the page is cycle-stale; 2027 applicability from MSC only,2025 (MSC corroborates 2027),institution + MSC,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/medicine/medicinehowtoapply/,2026-08-29
worcester-a101,University of Worcester (Three Counties Medical School),Medicine (Graduate Entry) MBChB,A101,graduate-entry,hybrid panel + MMI (LOW confidence — MSC only),E1; E3,not published,not published,not published,not published,in-person (LOW — MSC only),not published,not published,not published,PS not scored,CASPer assesses situational judgement and professionalism,not published,not published,not published,,Shortlisted applicants typically above 50 on GAMSAT or 1870 on UCAT; no hard cut-off.,NO A100 — graduate entry only. One of two schools using CASPer. GMC status: under review.,not published,LOW on interview format; HIGH on selection stages,2027,institution + MSC,https://www.worcester.ac.uk/about/academic-schools/medical-school/medical-school-admissions/mbchb-application-faqs.aspx,2026-08-29
chester-a101,University of Chester,Graduate Entry Medicine MBChB,A101,graduate-entry,MMI,E1,6,not published,not published,90,in-person,not published,not published,not published,not published,implied via GMP framing,not published,not published,yes,Assessed against GMC Good Medical Practice,Two assessors per station.,NO A100 — graduate entry only. NOT YET FULLY GMC-APPROVED for award; progressing through approval with Warwick Medical School as contingency partner. Flag this in product copy.,not published,"HIGH on station count, duration, delivery, scoring; absent on content",2026,institution,https://www.chester.ac.uk/study/course-search/graduate-entry-medicine-mbchb/,2026-08-29
lancashire-a100,University of Lancashire (formerly UCLan),Medicine & Surgery MBBS,A100,undergraduate,MMI,E1,not published,not published,not published,not published,hybrid (in-person Preston confirmed; online per MSC),not published,not published,not published,MSC only: used during the interview,not published,not published,not published,not published,,not published,Home/UK recruitment severely restricted — 'a very limited number of places available for UK students'. Weakest case in the dataset for building UK-market practice content. Note the rebrand to University of Lancashire; do not confuse with Lancaster Medical School.,not published,MEDIUM on format and delivery; absent on all content fields,2026,institution + MSC,https://www.lancashire.ac.uk/undergraduate/how-to-apply/mbbs,2026-08-29
edgehill-a100,Edge Hill University,MBChB Medicine,A100,undergraduate,MMI,E1; E6,not published,not published,not published,not published,not published,not published,yes (2020 policy: interpretation of data),not published,no,yes,yes,not published,yes,Motivation for wanting to join the MBChB Programme; Verbal communication skills; Integrity/probity; Teamwork/leadership; Empathy and compassion; Awareness of current health challenges; Ethical awareness; Awareness of self and others; Prioritization/decision making; Interpretation of data,UCAT SJT Band 4 = automatic rejection. Individual station scores are not released to applicants.,"UK applicants only. The 2020 competency list explicitly names 'Awareness of current health challenges' and 'Prioritization/decision making' — useful evidence that current affairs and prioritisation are genuinely assessed, but the document is six years old.",Interview format explicitly TBC for 2027 entry — re-check in autumn 2026.,MEDIUM on MMI type and process; LOW/DATED on the competency list (May 2020 policy),2027 (format TBC),institution + MSC,https://www.edgehill.ac.uk/course/medicine/,2026-08-29
manchester-a100,University of Manchester,Medicine MBChB,A100,undergraduate,MMI,E1; E2,5,8,0,50,hybrid (candidate chooses online or in-person),yes,no,not published,not published,yes,yes,not published,yes,Communication ability; Motivation for medicine; Caring experience; Contemporary medical knowledge; Ethical reasoning,"No reading or writing component at any station — everything is spoken, cold.",Explicitly names 'contemporary medical knowledge' as an assessed criterion — direct evidence for the tester's complaint that current affairs is missing from our bank. Uses simulated patients as interviewers. The only school offering candidates a free choice of delivery mode.,none stated,HIGH,unlabelled (treat as current),institution,https://www.bmh.manchester.ac.uk/study/medicine/apply/interviews/,2026-08-29
liverpool-a100,University of Liverpool,Medicine and Surgery,A100,undergraduate,MMI,E1,not published,not published,not published,not published,hybrid (in-person Home/Irish; online international),not published,not published,not published,not published,not published,not published,not published,not published,"Awareness of and insight into a career in healthcare; Caring for the community; Critical, coherent, and informative approach to verbal and written communication; Values embodying good healthcare practice",not published,not published,2026 and 2027 supplements materially identical on interview format.,HIGH on format; absent on all station detail,2027,institution,"https://www.liverpool.ac.uk/media/livacuk/schoolofmedicine/admissions/A100,Departmental,Supplement,E2027.pdf",2026-08-29
liverpool-a101,University of Liverpool,Medicine (graduate entry),A101,graduate-entry,MMI,E1,not published,not published,not published,not published,not published,not published,not published,not published,not published,not published,not published,not published,not published,,not published,not published,not published,MEDIUM on existence and MMI format; absent on detail,2027,institution,https://www.liverpool.ac.uk/medicine/study-with-us/undergraduate/admissions-process/,2026-08-29
lancaster-a100,Lancaster University,Medicine and Surgery MBChB,A100,undergraduate,MMI,E1,not published,not published,not published,not published,online (Microsoft Teams),not published,not published,not published,yes,not published,not published,not published,yes,"Skills, values and attributes required to study and practise medicine successfully",References GMC 'Achieving good medical practice: guidance for medical students'.,States the personal statement is an opportunity to prepare for the types of questions asked at interview — application-based questioning is in scope here. NOTE: an archived Lancaster policy describing 12-15 stations plus a 20-minute group task is from the BMAT era (2016 entry) and is superseded — do not use it.,not published,HIGH on delivery and scoring; absent on station count and timings,unlabelled,institution,https://www.lancaster.ac.uk/lms/medicine-and-surgery/mmi-guide/,2026-08-29
leeds-a100,University of Leeds,Medicine and Surgery MBChB,A100,undergraduate,MMI,E1,8,6,2,64,in-person (online for overseas),not published,not published,no,yes,yes,yes,not published,yes,Communication skills; Ethical reasoning; Problem solving,"Marked against pre-determined, standardised scoring scales. Critically: 'The decision to make an offer after interview depends entirely on performance at interview, not on predicted or achieved academic performance, or UCAT scores.'","The highest-stakes interview in the dataset — UCAT and academics govern shortlisting only, and the offer rests entirely on interview performance. Explicitly states the interview does not test clinical or scientific knowledge, and explicitly tells candidates to keep up to date with health and social care headlines.",not published,HIGH,2027,institution,https://medicinehealth.leeds.ac.uk/medicine/doc/preparing-mmi,2026-08-29
leeds-a101,University of Leeds,Gateway Year to Medicine MBChB,A101,undergraduate (widening participation gateway — NOT graduate entry),MMI,E1,8,6,2,64,in-person (online for overseas),not published,not published,no,yes,yes,yes,not published,yes,Communication skills; Ethical reasoning; Problem solving,Offers depend entirely on interview performance.,"Leeds A101 is a Gateway Year, not graduate entry. Leeds has no graduate-entry medicine course — a common product data error.",not published,MEDIUM (station detail inherited from the shared Medicine/Gateway MMI page),2027,institution,https://courses.leeds.ac.uk/i900/gateway-year-to-medicine-mbchb,2026-08-29
sheffield-a100,University of Sheffield,Medicine MBChB,A100,undergraduate,MMI (home) / panel (international),E1; E3,8,not published,not published,not published,in-person (Home) / online (International),not published,not published as such — 'Information processing' is a named section,not published,no,yes,yes,not published,yes,Knowledge of Sheffield; Medicine in a wider context; Good medical practice; Attitudes and values; The candidate as a person; Communication skills; Ethics; Information processing,"Published prioritisation rule: 'Applicants who achieve a score of three or better in every MMI section and the SJT will be prioritised in the ranking process.' This is a per-station floor, not a total — the single most important scoring design fact in the dataset.","The most granular published scoring model in the UK: named sections, an explicit five-point descriptor scale, a 45-point total including SJT, and a per-section floor. Uniquely states it does not read or score personal statements. Also uniquely has a 'Knowledge of Sheffield' section — the only school where course-specific research is directly scored. Notes and materials are not permitted during the interview.",UCAT threshold restated from 2430/3600 to 1800/2700 following the change in UCAT format.,HIGH,2027,institution,https://sheffield.ac.uk/smph/undergraduate/medicine-admissions,2026-08-29
hyms-a100,Hull York Medical School,Medicine,A100,undergraduate,MMI hybrid — includes a group exercise and a video-based individual scenario,E1; E7,4,not published,5,not published,in-person (Home/EU) / online (overseas),"yes — pre-recorded video with character interaction, not a live actor",no,no,not published,yes,yes,yes,yes,"Collaborative ability; Insight into a medical career; Understanding of the values in the NHS Constitution; Motivation; Current medical awareness; Communication skills; Understanding of the course; Personal qualities — empathy, tolerance of ambiguity and resilience; Critical thinking","Overseas structure differs: 4 stations (three mini-interviews at 15 points each, individual scenario 15, group exercise 15), 60 points total, one question per station, 2 minutes' thinking time, group of up to 6.","The only school publishing a live group exercise as a scored station with published point weights, and the only one using a pre-recorded video scenario over headphones. Five minutes of thinking time per question is by far the most generous preparation in the dataset — a completely different answer-construction skill from UCL's one minute.",not published,HIGH,2026,institution,https://www.hyms.ac.uk/medicine/applying/interviews,2026-08-29
