rank,group,station,topic,format,context,actor,difficulty,roleplay_ref,why_this_one_now
26,C Motivation and reflection,Why not nursing or a physician associate,D1.1.2,DQ,NONE,INT,2_standard,,Tests real knowledge of adjacent roles. Live topic post-Leng and a red flag if answered by diminishing another profession.
27,C Motivation and reflection,Something from your work experience that changed how you think,D1.4.1,WE,VOL,INT,2_standard,,Built on the MSC line: what you did is only half the story.
28,C Motivation and reflection,Tell me about a real failure and its cost,D1.4.4,PE,NONE,INT,2_standard,,Automatic evidence probe on any humblebrag. Tests S4 directly.
29,C Motivation and reflection,What does a doctor actually spend the day doing,D1.3.4,DQ,NONE,INT,1_foundation,,Realism check. Foundation band — early confidence builder that still teaches something.
30,C Motivation and reflection,What will you find hardest about training,D1.2.3,DQ,NONE,INT,2_standard,,Tests whether the candidate can name a real cost without performing sacrifice.
31,C Motivation and reflection,You said you're resilient — what's your evidence,D7.2.1,PE,NONE,INT,2_standard,,The unsupported-claim trigger built as a station rather than only as a follow-up.
32,C Motivation and reflection,A time you supported someone else's decision you disagreed with,D6.1.2,PE,NONE,INT,2_standard,,Deliberate followership prompt. Corrects the bank-wide bias toward leadership stories.
33,D Current affairs,Should doctors go on strike,D9.2.2,PD,PH,INT,2_standard,,The tester named it. Symmetric challenge required. Hard expiry 2026-11-30.
34,D Current affairs,Will AI replace doctors — and who is responsible when it's wrong,D10.5.2,PD,PH,INT,3_stretch,,The tester named it. The accountability half is the differentiator almost nobody teaches.
35,D Current affairs,Why do people in poorer areas die younger,D9.3.1,PD,PH,INT,2_standard,,The tester named it. Evergreen concept with a dated statistics layer.
36,D Current affairs,Should the NHS fund weight-loss drugs at scale,D9.4.3,PD,PH,INT,3_stretch,,Cleanest live rationing case with published cohort eligibility.
37,D Current affairs,Should assisted dying be legal — and where is it now,D5.6.3,PD,PH,INT,3_stretch,,Highest-salience ethics topic of the cycle. Hard expiry 2026-09-12 pending the 11 September Second Reading.
38,D Current affairs,Is it fair to prioritise UK graduates for training posts,D9.2.3,PD,PH,INT,3_stretch,,Directly affects the applicant. Handle with care — never signal a position.
39,D Current affairs,Should we screen everyone for prostate cancer,D9.4.4,PD,PH,INT,3_stretch,,Live NSC decision with a clean evidence-versus-advocacy structure and a usable false-positive figure.
40,D Current affairs,Who loses when the NHS goes digital,D10.5.5,PD,PH,INT,2_standard,,Rewards connecting digital exclusion to the inverse care law — a link most candidates never make.
41,E Communication tasks,Explain a clinical trial to a ten-year-old,D2.2.1,EX,SCHOOL,YP,2_standard,,Comprehension checking with open questions. Low build cost high discrimination.
42,E Communication tasks,Describe it to me — the drawing task,D2.3.1,IT,SCHOOL,PEER_APP,2_standard,RP-019,Punishes closed checking by design. The listener says yes to 'does that make sense' regardless.
43,E Communication tasks,Tell someone their session is cancelled,D2.4.1,RP,COMM,PAR,2_standard,,Non-clinical bad news. The honest reframe of 'break bad news' for an applicant.
44,E Communication tasks,Explain to a member of the public what a waiting list actually is,D2.2.2,EX,COMM,MOP,2_standard,,Tests the boundary between lay explanation and clinical claim.
45,E Communication tasks,Apologise for something you got wrong,D2.4.5,RP,WORK,COLL,2_standard,,Apology without 'but'. Pairs with RP-015 in a different setting.
46,F Judgement and data,Five things to do and twenty minutes,D8.1.1,PR,VOL,INT,2_standard,,Prioritisation where the criterion not the order is scored. Facts change mid-station.
47,F Judgement and data,You cannot do all of it — what do you drop and who do you tell,D8.1.2,PR,WORK,INT,3_stretch,,Deliberately impossible. Most banks make prioritisation merely hard.
48,F Judgement and data,Read this chart and tell me what it does not show,D10.4.2,DI,PH,INT,2_standard,,Limitations weighted above arithmetic. Directly serves Birmingham Imperial KMMS and Leicester.
49,F Judgement and data,Occupancy and discharge arithmetic — no calculator,D10.3.1,CA,NONE,INT,2_standard,,Mirrors Leicester's published numeracy hurdle: GCSE level no medical knowledge no calculator.
50,F Judgement and data,A headline says risk rose by 50 per cent,D10.2.3,AD,PH,INT,2_standard,,Absolute versus relative risk. Highest-yield critical appraisal skill needing zero medical knowledge.
